timestamp,model,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive,threshold,threshold_strategy,validation_f1_at_threshold,seed
2026-06-28T14:11:13,GAT-sampled_complement,0.9986443741527339,0.037459531840602064,0.07221042313347492,0.04073265558718076,0.5054607698106959,54,56787,3,2210,0.17,f1,0.060814366530719643,42
2026-06-28T15:31:40,GraphSAGE-sampled_complement,0.315860822413014,0.22120253164556963,0.2601898380792853,0.14238307067499092,0.7999120957451866,54380,2461,1514,699,0.6,f1,0.26756496631376325,42
2026-06-28T15:47:13,Elliptic-MLP,0.47794117647058826,0.30854430379746833,0.375,0.34227136199894354,0.7974553748927532,7996,437,213,195,0.91,f1,0.7461645746164575,43
2026-06-28T15:47:26,Elliptic-LSTM,0.39950980392156865,0.6392156862745098,0.4917043740573152,0.4503547529722579,0.8433217185259668,8332,92,245,163,0.9400000000000001,f1,0.7029096477794793,43
2026-06-28T15:47:43,Elliptic-Transformer,0.4387254901960784,0.7489539748953975,0.5533230293663061,0.5276079778666949,0.8315551796454574,8364,60,229,179,0.77,f1,0.8317757009345794,43
2026-06-28T15:47:46,Elliptic-GCN,0.5833333333333334,0.1178801386825161,0.196126905644829,0.13708748001775245,0.7638835120197729,6652,1781,170,238,0.5,f1,0.4,43
2026-06-28T15:47:51,Elliptic-GraphSAGE,0.3897058823529412,0.5389830508474577,0.4523470839260313,0.4280631454087309,0.801422923017185,8297,136,249,159,0.8300000000000001,f1,0.6479750778816199,43
2026-06-28T15:47:57,Elliptic-GAT,0.4387254901960784,0.2679640718562874,0.33271375464684017,0.33086811056156334,0.8029976190642273,7944,489,229,179,0.88,f1,0.5326340326340326,43
2026-06-28T15:48:04,Elliptic-MLP,0.47794117647058826,0.25523560209424084,0.33276450511945393,0.44498856978960105,0.772856634649591,7864,569,213,195,0.5,f1,0.663760896637609,44
2026-06-28T15:48:15,Elliptic-LSTM,0.4387254901960784,0.6006711409395973,0.5070821529745042,0.48480275497464115,0.8426440911122284,8305,119,229,179,0.85,f1,0.6718851924331376,44
2026-06-28T15:48:25,Elliptic-Transformer,0.42892156862745096,0.8101851851851852,0.5608974358974359,0.5010822797272969,0.7670099319404875,8383,41,233,175,0.91,f1,0.8444802578565673,44
2026-06-28T15:48:28,Elliptic-GCN,0.47549019607843135,0.1563255439161966,0.23529411764705882,0.17857597608928155,0.7752143190965466,7386,1047,214,194,0.5,f1,0.5,44
2026-06-28T15:48:33,Elliptic-GraphSAGE,0.4264705882352941,0.37100213219616207,0.39680729760547323,0.38477149203934313,0.7960335563135488,8138,295,234,174,0.85,f1,0.5630306988896147,44
2026-06-28T15:48:39,Elliptic-GAT,0.3382352941176471,0.46308724832214765,0.3909348441926346,0.3814623747792578,0.8337381970456865,8273,160,270,138,0.93,f1,0.5410852713178295,44
2026-06-28T15:48:46,Elliptic-MLP,0.4264705882352941,0.38752783964365256,0.40606767794632437,0.40370497613544515,0.7692548589458313,8158,275,234,174,0.49,f1,0.718562874251497,45
2026-06-28T15:48:57,Elliptic-LSTM,0.39705882352941174,0.6136363636363636,0.48214285714285715,0.44033199264415046,0.8409196180846508,8322,102,246,162,0.8300000000000001,f1,0.691044776119403,45
